Date,BUDAPEST,BARANYA,BACS,BEKES,BORSOD,CSONGRAD,FEJER,GYOR,HAJDU,HEVES,JASZ,KOMAROM,NOGRAD,PEST,SOMOGY,SZABOLCS,TOLNA,VAS,VESZPREM,ZALA,456,100,500,198,132,409,163,89,82,357,111,292,386,376,504,189,502,21,396,156,315,224,437,45,126,79,178,475,44
03/01/2005,168.0,79.0,30.0,173.0,169.0,42.0,136.0,120.0,162.0,36.0,130.0,57.0,2.0,178.0,66.0,64.0,11.0,29.0,87.0,68.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/01/2005,157.0,60.0,30.0,92.0,200.0,53.0,51.0,70.0,84.0,28.0,80.0,50.0,29.0,141.0,48.0,29.0,58.0,53.0,68.0,26.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17/01/2005,96.0,44.0,31.0,86.0,93.0,30.0,93.0,84.0,191.0,51.0,64.0,46.0,4.0,157.0,33.0,33.0,24.0,18.0,62.0,44.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24/01/2005,163.0,49.0,43.0,126.0,46.0,39.0,52.0,114.0,107.0,42.0,63.0,54.0,14.0,107.0,66.0,50.0,25.0,21.0,43.0,31.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31/01/2005,122.0,78.0,53.0,87.0,103.0,34.0,95.0,131.0,172.0,40.0,61.0,49.0,11.0,124.0,63.0,56.0,7.0,47.0,85.0,60.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
07/02/2005,174.0,76.0,77.0,152.0,189.0,26.0,74.0,181.0,157.0,44.0,95.0,97.0,26.0,146.0,59.0,54.0,27.0,54.0,48.0,60.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14/02/2005,153.0,103.0,54.0,192.0,148.0,65.0,100.0,118.0,129.0,40.0,88.0,56.0,10.0,119.0,104.0,85.0,20.0,32.0,153.0,70.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21/02/2005,115.0,74.0,64.0,174.0,140.0,56.0,111.0,175.0,138.0,60.0,112.0,70.0,21.0,178.0,70.0,75.0,5.0,66.0,149.0,54.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28/02/2005,119.0,86.0,57.0,171.0,90.0,65.0,118.0,105.0,194.0,60.0,67.0,46.0,12.0,112.0,116.0,76.0,22.0,45.0,102.0,42.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
07/03/2005,114.0,81.0,129.0,217.0,167.0,64.0,93.0,154.0,119.0,34.0,118.0,73.0,6.0,130.0,68.0,59.0,31.0,85.0,96.0,54.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14/03/2005,127.0,59.0,81.0,243.0,99.0,81.0,72.0,107.0,117.0,57.0,72.0,91.0,9.0,113.0,62.0,22.0,26.0,19.0,118.0,43.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21/03/2005,135.0,74.0,51.0,271.0,215.0,48.0,115.0,148.0,171.0,21.0,114.0,82.0,10.0,141.0,55.0,45.0,23.0,83.0,127.0,36.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28/03/2005,116.0,63.0,98.0,119.0,51.0,48.0,51.0,92.0,76.0,41.0,82.0,72.0,25.0,162.0,49.0,203.0,40.0,47.0,63.0,36.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
04/04/2005,132.0,83.0,59.0,130.0,152.0,54.0,78.0,128.0,207.0,42.0,138.0,66.0,6.0,121.0,41.0,92.0,8.0,52.0,108.0,38.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/04/2005,129.0,53.0,84.0,111.0,103.0,41.0,58.0,91.0,123.0,35.0,91.0,51.0,26.0,144.0,50.0,41.0,25.0,64.0,59.0,30.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18/04/2005,113.0,74.0,62.0,101.0,84.0,66.0,83.0,111.0,134.0,70.0,124.0,63.0,7.0,125.0,55.0,49.0,13.0,46.0,87.0,22.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
